products_export_1
Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin05_f8be8aa2-cda7-4b22-ae47-f1a13ab22028.webp?v=1737347042,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin06.webp?v=1737347046,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin07.webp?v=1737347051,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin08.jpg?v=1737347056,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin09.webp?v=1737347060,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin10.webp?v=1737347066,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin11.webp?v=1737347071,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiss-i-envy-luxury-mink-3d-eyelashes-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/ros_kmin12.jpg?v=1737347075,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,Miss Lashes 3D Volume Lash 100% Silk Lash,,BEAUTY FETCH,Health & Beauty > Personal Care > Cosmetics > Makeup,Eye Lashes,AEB,TRUE,Style,MS05,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1085-large_default_505b5196-a199-48cc-a895-3f43e6f9eff4.jpg?v=1737346116,1,,FALSE,,,2761,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1085-large_default_897ee995-a019-4572-a91f-56602465d4cd.jpg?v=1737346492,lb,,6.48,TRUE,,,active
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,MS06,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1085-large_default_897ee995-a019-4572-a91f-56602465d4cd.jpg?v=1737346492,2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1088-large_default_6ea6adc8-938b-410d-ba0e-7443b38c532b.jpg?v=1737346489,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M104,,,,,,,,,0.0,shopify,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1088-large_default_6ea6adc8-938b-410d-ba0e-7443b38c532b.jpg?v=1737346489,3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1026-large_default_61a2ebbd-7d88-49ea-9275-632d92b40bf3.jpg?v=1737346482,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M121,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1026-large_default_61a2ebbd-7d88-49ea-9275-632d92b40bf3.jpg?v=1737346482,4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1029-large_default_04663f1b-785f-4d48-973d-23c37d4c4e3e.jpg?v=1737346477,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M218,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1029-large_default_04663f1b-785f-4d48-973d-23c37d4c4e3e.jpg?v=1737346477,5,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1032-large_default_b2920184-8fe8-477e-beee-d5149004b50a.jpg?v=1737346474,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M220,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1032-large_default_b2920184-8fe8-477e-beee-d5149004b50a.jpg?v=1737346474,6,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1035-large_default_f89832eb-6450-4878-b5de-0b22473cfd78.jpg?v=1737346459,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M222,,,,,,,,,0.0,shopify,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1035-large_default_f89832eb-6450-4878-b5de-0b22473cfd78.jpg?v=1737346459,7,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1061-large_default_109060ae-7641-4ecf-af87-b0aa08148a00.jpg?v=1737346435,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M232,,,,,,,,,0.0,shopify,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1061-large_default_109060ae-7641-4ecf-af87-b0aa08148a00.jpg?v=1737346435,8,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1041-large_default_18100576-9409-4658-8024-1e28f2668087.jpg?v=1737346428,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M302A,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1041-large_default_18100576-9409-4658-8024-1e28f2668087.jpg?v=1737346428,9,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1044-large_default_0386123d-147c-4ca7-b463-da041a8f3576.jpg?v=1737346419,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M362,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1044-large_default_0386123d-147c-4ca7-b463-da041a8f3576.jpg?v=1737346419,10,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1070-large_default_825f5b0f-c02a-4fcf-86a3-58519507216d.jpg?v=1737346384,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M363,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1070-large_default_825f5b0f-c02a-4fcf-86a3-58519507216d.jpg?v=1737346384,11,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1064-large_default_1070ed45-b8fe-4763-881f-06eddb9a1570.jpg?v=1737346374,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M365,,,,,,,,,0.0,,continue,manual,6.48,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1064-large_default_1070ed45-b8fe-4763-881f-06eddb9a1570.jpg?v=1737346374,12,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1073-large_default_b283dcc6-8d04-4add-985f-44ece6f74463.jpg?v=1737346363,lb,,7.20,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M368,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1073-large_default_b283dcc6-8d04-4add-985f-44ece6f74463.jpg?v=1737346363,13,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1076-large_default_cd1811ff-a1ff-4291-8903-389a19435bbc.jpg?v=1737346358,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,M829,,,,,,,,,0.0,,continue,manual,7.20,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/1076-large_default_cd1811ff-a1ff-4291-8903-389a19435bbc.jpg?v=1737346358,14,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/589-large_default_c5795618-2ada-4765-a4e3-5a47820b2b7b.jpg?v=1737346352,lb,,6.48,,,,
miss-lashes-3d-volume-lash-100-silk-lash-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/589-large_default_c5795618-2ada-4765-a4e3-5a47820b2b7b.jpg?v=1737346352,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carols-daughter-black-vanilla-edge-control-smoother-2oz,Carols Daughter Black Vanilla Edge Control Smoother 2oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Edge Control,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,15.62,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_b7cd4364-7e86-49c8-873f-38bee2ab1a58.jpg?v=1737458656,1,,FALSE,,,543615,,,,,,,,,,,,,,,,,,,,lb,,14.06,TRUE,,,active
carols-daughter-goddess-strength-divine-strength-leave-in-cream-10oz-1,Carol's Daughter Goddess Strength Divine Strength Leave-In Cream 10oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Grease & Creams,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,21.64,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/Carols-Daughter-Goddess-Strength-Curl-Lotion--820645006607-1.jpg?v=1737459809,1,,FALSE,,,543616,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
carols-daughter-goddess-strength-fortifying-conditioner-8-5oz-copy,Carol's Daughter Goddess Strength Fortifying Conditioner 8.5oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Shampoo & Conditioner,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,22.85,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_02c92693-4905-46a5-aee7-6e83fb4df11d.jpg?v=1737459341,1,,FALSE,,,543616,,,,,,,,,,,,,,,,,,,,lb,,20.56,TRUE,,,active
carols-daughter-goddess-strength-divine-strength-leave-in-milk-8-5oz-1,Carol's Daughter Goddess Strength Divine Strength Leave-In Milk 8.5oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Shampoo & Conditioner,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,21.64,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_27c0679a-41ad-4dce-8fc3-ed8daef8a7c9.jpg?v=1737459550,1,,FALSE,,,543616,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
tropical-roots-locking-gel-6oz,Tropical Roots Locking Gel 6oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Gel & Jams,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,8.41,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_a7084540-fb31-48ee-b9e3-1592ca905e55.jpg?v=1734637394,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,7.57,TRUE,,,active
tropical-roots-twist-creme-6oz,Tropical Roots Twist Creme 6oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Grease & Creams,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,10.81,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_c9b99595-96e2-48ee-aff6-2d857ec44072.jpg?v=1734637461,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,9.73,TRUE,,,active
tropical-roots-firm-locking-gel-6oz-1,Tropical Roots Firm Locking Gel 6oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Gel & Jams,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,9.61,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/download_4c457060-e448-4c8c-a675-477bd2910c34.jpg?v=1734637519,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,lb,,8.65,TRUE,,,active
tgin-triple-moisture-replenishing-conditioner-13oz,TGIN Triple Moisture Replenishing Conditioner 13oz,,BEAUTY FETCH,Health & Beauty > Personal Care > Hair Care > Hair Styling Products,Shampoo & Conditioner,AEB,TRUE,Title,Default Title,,,,,,,,,0.0,,continue,manual,21.64,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0889/4637/7073/files/tgin-Triple-Moisture-Replenishing-Conditioner-For-Natural-Hair-Dry-Hair-Curly-Hair-13-Oz_1abd7570-b87e-43f1-962f-7741da953e86.064569007ae668f459f202c1209db9b3.webp?v=1737454895,1,,FALSE,,,1901,,,,,,,,,,,,,,,,,,,,lb,,19.47,TRUE,,,active
